"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Baslerstrasse 145","","6","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Neumarkt (Migros Altstetten)","","10000431","","","","","","","","","","","","","","","","","ph10000431","","","","","","","","","","","","","","247","10000431","6","4","0","7","0","POINT (2679198.8 1249257.6)"
"","Nansenstrasse 21","","6","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Neumarkt (Zentrum Oerlikon)","","10000432","","","","","","","","","","","","","","","","","ph10000432","","","","","","","","","","","","","","260","10000432","6","7","12","3","6","POINT (2683405.2 1251661.5)"
"","Siewerdtstrasse 10","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Nordhaus","","45","","","","","","","","","","","","","","","","","ph045","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/nordhaus.jsp?pid=nordhaus","184","45","2","0","0","2","0","POINT (2683686 1251843.5)"
"","Schiffbaustrasse 11","","3","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Novotel Zürich-City","","10000463","","","","","","","","","","","","","","","","","ph10000463","","","","","","","","","","","","","","94","10000463","3","0","0","0","0","POINT (2681443.5 1249242.8)"
"","Brown-Boveri-Strasse 2","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Octavo","","51","","","","","","","","","","","","","","","","","ph051","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/octavo.jsp?pid=octavo","113","51","2","2","0","0","0","POINT (2682853.2 1252000.4)"
"","Theaterstrasse 7","","6","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Opéra","","1532","","","","","","","","","","","","","","","","","ph1532","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/opera.jsp?pid=opera","297","1532","6","5","0","0","0","POINT (2683730 1246631)"
"","Förrlibuckstrasse 151","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","P West","","52","","","","","","","","","","","","","","","","","ph052","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/p_west.jsp?pid=p_west","1004","52","0","0","0","0","0","POINT (2680950.2 1249576.4)"
"","Gotthardstrasse 27","","7","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Park Hyatt","","50","","","","","","","","","","","","","","","","","ph050","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/park_hyatt.jsp?pid=park_hyatt","267","50","7","2","10","1","0","POINT (2682899.5 1246698)"
"","Sophie-Taeuber-Strasse 14","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Parkside","","62","","","","","","","","","","","","","","","","","ph062","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/parkside.jsp?pid=parkside","37","62","1","0","0","0","0","POINT (2683054.2 1251872.9)"
"","Pfingstweidstrasse 9","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Pfingstweid","","1","","","","","","","","","","","","","","","","","ph001","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/pfingstweid.jsp?pid=pfingstweid","276","1","0","0","0","0","0","POINT (2681481.5 1249087)"
"","Hardstrasse 201","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Prime Tower","","10000512","","","","","","","","","","","","","","","","","ph10000512","","","","","","","","","","","","","","23","10000512","1","0","0","0","0","POINT (2681442.2 1248929)"
"","Technoparkstrasse 10","","3","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Puls 5","","1533","","","","","","","","","","","","","","","","","ph1533","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/puls5.jsp?pid=puls5","59","1533","3","0","5","0","0","POINT (2681459.8 1249457)"
"","Marie-Curie-Platz 1","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Quadro","","10000532","","","","","","","","","","","","","","","","","ph10000532","","","","","","","","","","","","","","60","10000532","0","0","0","0","0","POINT (2684090.8 1252013)"
"","Campanellaweg 6a","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Rote Buche Bindella, BMW","","10000520","","","","","","","","","","","","","","","","","ph10000520","","","","","","","","","","","","","","31","10000520","2","0","0","0","0","POINT (2680188.2 1248476.2)"
"","Giessereistrasse 7","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Schiffbau","","10000473","","","","","","","","","","","","","","","","","ph10000473","","","","","","","","","","","","","","32","10000473","2","0","0","0","0","POINT (2681564.8 1249292.5)"
"","Lengghalde 2b","","6","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Schulthess Klinik","","10000483","","","","","","","","","","","","","","","","","ph10000483","","","","","","","","","","","","","","193","10000483","6","2","0","0","0","POINT (2685735 1245202.9)"
"","Büttenweg 22","","16","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Sihlcity","","10000479","","","","","","","","","","","","","","","","","ph10000479","","","","","","","","","","","","","","758","10000479","16","12","0","0","3","POINT (2681938 1245644.9)"
"","Saumackerstrasse 33","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Solida Park","","10000399","","","","","","","","","","","","","","","","","ph10000399","","","","","","","","","","","","","","48","10000399","0","0","0","0","0","POINT (2679283.8 1249097.5)"
"","Wehntalerstrasse 628","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Spar Affoltern","","10000489","","","","","","","","","","","","","","","","","ph10000489","","","","","","","","","","","","","","14","10000489","0","0","0","0","0","POINT (2680047.5 1252972.6)"
"","Baslerstrasse 15","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Stadion Letzigrund","","10000485","","","","","","","","","","","","","","","","","ph10000485","","","","","","","","","","","","","","108","10000485","2","0","0","0","0","POINT (2680421 1248665.4)"
"","Niklausstrasse 17","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Stampfenbach","","33","","","","","","","","","","","","","","","","","ph033","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/stampfenbach.jsp?pid=stampfenbach","215","33","0","0","5","0","1","POINT (2683117 1249006.6)"
"","Werdstrasse 6","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Stauffachertor","","10000421","","","","","","","","","","","","","","","","","ph10000421","","","","","","","","","","","","","","57","10000421","1","0","4","0","0","POINT (2682458.2 1247474.1)"
"","Tödistrasse 26","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Stockerhof","","10000506","","","","","","","","","","","","","","","","","ph10000506","","","","","","","","","","","","","","45","10000506","0","0","0","0","0","POINT (2682816 1246705.5)"
"","Nüschelerstrasse 30","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Talgarten","","42","","","","","","","","","","","","","","","","","ph042","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/talgarten.jsp?pid=talgarten","110","42","0","2","0","0","0","POINT (2682881.8 1247391.1)"
"","Technoparkstrasse 2","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Technopark Zürich","","10000467","","","","","","","","","","","","","","","","","ph10000467","","","","","","","","","","","","","","61","10000467","2","0","0","0","2","POINT (2681334 1249290.4)"
"","Räffelstrasse 24","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Tic Tric Trac","","10000517","","","","","","","","","","","","","","","","","ph10000517","","","","","","","","","","","","","","95","10000517","2","0","0","0","0","POINT (2681179 1246396.2)"
