"id","lokalisationsname","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid","geometry"
"710","Tram Milchbuck","Fahrverbot","T0","","","","","","2183","LINESTRING (2683301 1250119.8,2683275.5 1250136.8,2683272.5 1250138.8,2683269.8 1250141,2683267.2 1250143.5,2683265 1250146.2,2683263 1250149.1,2683261.2 1250152.2,2683259.8 1250155.5,2683258.5 1250158.8,2683257.8 1250162.2,2683257 1250165.8,2683256.8 1250169.2,2683257 1250172.9,2683257.2 1250176.4,2683258 1250179.9,2683259 1250183.2,2683260.2 1250186.6,2683279.2 1250235.9,2683301.2 1250283.6,2683326.2 1250330,2683348.2 1250368.1,2683349.2 1250370.1,2683350.2 1250372,2683351.8 1250373.8,2683353.2 1250375.4,2683354.8 1250376.9,2683356.5 1250378.2,2683358.5 1250379.5,2683360.5 1250380.5,2683362.5 1250381.4,2683364.8 1250382.1,2683366.8 1250382.6,2683369 1250382.9,2683371.2 1250383,2683373.5 1250382.9,2683375.8 1250382.6,2683377.8 1250382.1,2683380 1250381.5,2683382 1250380.6,2683384 1250379.6,2683385.5 1250378.6,2683386.8 1250377.5,2683387.8 1250376.2,2683389 1250374.9,2683390 1250373.5,2683390.8 1250372,2683391.5 1250370.4,2683392 1250368.9,2683392.5 1250367.1,2683392.8 1250365.5,2683392.8 1250363.8,2683392.8 1250362,2683392.5 1250360.4,2683392.2 1250358.6,2683391.8 1250357,2683391.2 1250355.4,2683390.5 1250353.9,2683389.8 1250352.4,2683388.8 1250351,2683387.5 1250349.6,2683386.5 1250348.4,2683385 1250347.4,2683382.8 1250345.6,2683380.2 1250344.2,2683377.5 1250343,2683374.8 1250342,2683372 1250341.2,2683369 1250340.9,2683366 1250340.6,2683363.2 1250340.6,2683360.2 1250340.9,2683355 1250340.8,2683350 1250340,2683345 1250338.9,2683340 1250337.2,2683335.2 1250335.2,2683330.5 1250332.9,2683326.2 1250330,2683340.5 1250364.8,2683343.2 1250373.2,2683344.8 1250382.1,2683345.8 1250391,2683345.5 1250400,2683345.8 1250414.9,2683346.8 1250429.8,2683349.2 1250444.4,2683347 1250450)"
"372","Brüderhofweg","T20","T20","20211130000000","","","","","2221","LINESTRING (2683172.5 1250358.6,2683164 1250369.4,2683130.8 1250419.1,2683068.8 1250510.8,2683005.8 1250604.1,2682990.8 1250626.9)"
"398","Berninaplatz","T50","T50","","","","","","2252","LINESTRING (2683689.5 1250851.4,2683711.8 1250867,2683734 1250882.2,2683756.5 1250897.2,2683749.2 1250894.1,2683741.5 1250891.6,2683733.8 1250889.8,2683725.8 1250888.6,2683717.8 1250888.1)"
"4523","Wissmannstrasse","T20","T20","","","","","","2318","LINESTRING (2682895.8 1249786.8,2682891.2 1249796,2682886.8 1249805,2682881.5 1249813.9)"
"3429","Milchbuckstrasse","T30","T30","","","","","","2357","LINESTRING (2683149.8 1249991.6,2683158.5 1249983.8)"
"57","Strickhofstrasse","Fahrverbot","T0","","","","","","2448","LINESTRING (2683627.2 1249977.4,2683645.5 1249978.9,2683729.8 1249984.8,2683768.2 1249986.5,2683814.2 1249987.8,2683879.5 1249985,2683990.8 1249981.8,2683992.8 1249981.6,2683994.8 1249981.4,2683996.8 1249980.9,2683998.5 1249980.2,2684000.5 1249979.5,2684002.2 1249978.6,2684004 1249977.5,2684005.5 1249976.2,2684007 1249974.9,2684008.5 1249973.4,2684009.5 1249971.8,2684010.8 1249970,2684021.5 1249951.1,2684022 1249949.9,2684022.8 1249948.6,2684023.8 1249947.4,2684024.8 1249946.4,2684025.8 1249945.4,2684027 1249944.4,2684028.2 1249943.6,2684029.5 1249943,2684030.8 1249942.4,2684032.2 1249941.9,2684033.8 1249941.6)"
"59","Stüssistrasse","T20","T20","","","","","","2449","LINESTRING (2683182.8 1249773,2683182.8 1249790.6,2683183 1249806.4,2683186 1249821.2)"
"4753","Im Eisernen Zeit","T30","T30","","","","","","2455","LINESTRING (2683394.8 1249813.9,2683399.2 1249825.6)"
"4838","Wissmannstrasse","T20","T20","","","","","","2468","LINESTRING (2682881.5 1249813.9,2682870.5 1249831.6,2682858 1249848.4,2682843.8 1249863.9)"
"4853","Eschenweg","T30","T30","","","","","","2483","LINESTRING (2683340.8 1250887.8,2683331 1250897.2,2683322 1250907.5,2683314 1250918.4,2683307 1250930.1)"
"4931","namenlos38","Fahrverbot","T0","","","","","","2496","LINESTRING (2682895.8 1249786.8,2682898.5 1249787.8,2682922.5 1249799.2,2682909 1249828.8,2682881.5 1249813.9)"
"3970","Hirschwiesenstrasse","T50","T50","","","","","","2556","LINESTRING (2683378.8 1250444.6,2683391.5 1250451.2,2683404.8 1250457,2683418.2 1250461.9,2683474.8 1250478.6)"
"4035","Im Birkenhof","T20","T20","","","","","","2568","LINESTRING (2683078.5 1249949.1,2683023 1249989.6,2683018.8 1249984.4,2683011.2 1249974.1,2682995.5 1249952.5,2682993.5 1249953.9)"
"4121","Steinkluppenweg","Fahrverbot","T0","","","","","","2582","LINESTRING (2683056.2 1250831.6,2683055.5 1250833.2,2683053.5 1250836.9,2683037.2 1250873.4,2683036.2 1250875.6)"
"1150","Bucheggtunnel","T50","T50","","","","","","2614","LINESTRING (2682563.2 1250213.5,2682589.5 1250225.5,2682623.5 1250240.8,2682658.8 1250253.2,2682694.8 1250262.9,2682731.5 1250269.6)"
"2395","Einfahrt Hirschwiesenstrasse","T50","T50","","","","","","2644","LINESTRING (2683550 1250500.9,2683578.5 1250499,2683607.2 1250499.5,2683635.5 1250502.1,2683642.2 1250502.1,2683649 1250501.5,2683655.5 1250500.2,2683662 1250498.5,2683668.5 1250496.1,2683674.5 1250493.2,2683680.2 1250489.8,2683685.8 1250485.9,2683691 1250481.6,2683695.8 1250476.8,2683700 1250471.6,2683703.8 1250466.1,2683714.5 1250449.8,2683715.2 1250447.5,2683716.2 1250445.4,2683717.8 1250443.2,2683719 1250441.2,2683720.8 1250439.4,2683722.5 1250437.8,2683724.2 1250436.1,2683726.2 1250434.8,2683728.5 1250433.6,2683730.8 1250432.6,2683733 1250431.8,2683735.2 1250431.1,2683737.8 1250430.8,2683740.2 1250430.5,2683742.5 1250430.5,2683745 1250430.8,2683747.5 1250431.1,2683749.8 1250431.8,2683752 1250432.6,2683754.2 1250433.6,2683756.5 1250434.9)"
"1751","Blütenstrasse","T30","T30","","","","","","2771","LINESTRING (2683757.8 1251012.6,2683749.5 1251014,2683746.8 1251014.5,2683744 1251014.8,2683741 1251014.8,2683738.2 1251014.5,2683735.5 1251013.9,2683732.8 1251013.1,2683730 1251012.1,2683640.5 1250984.6,2683637.2 1250983.8,2683633.8 1250983.2,2683630.5 1250983.1,2683627 1250983.2,2683623.8 1250983.6,2683620.5 1250984.4,2683617.2 1250985.4,2683592.8 1250994.6)"
"814","Hirschwiesentunnel","T50","T50","","","","","","2820","LINESTRING (2683061.5 1250331.9,2683093.8 1250340,2683157 1250355.5,2683222.8 1250371.4,2683271 1250383.4,2683286 1250387.9,2683300.5 1250393.8,2683314.8 1250400.9,2683324.8 1250406.8,2683334.5 1250413.4,2683343.5 1250420.9,2683353.2 1250428.2,2683361.5 1250434.1,2683370 1250439.6,2683378.8 1250444.6)"
